Device,Test Name,Test Status,Message(s),Test description,Test category
campus-brdr2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-leaf1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-leaf1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-leaf1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-leaf1,VerifyInventory,skipped,VerifyInventory test is not supported on vEOS-lab,Verifies the physical hardware inventory of the device.,Hardware
campus-leaf1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-leaf1,VerifyTransceiversManufacturers,skipped,VerifyTransceiversManufacturers test is not supported on vEOS-lab,Verifies if all the transceivers come from approved manufacturers.,Hardware
campus-leaf1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-leaf2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-leaf2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-leaf2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-leaf2,VerifyInventory,skipped,VerifyInventory test is not supported on vEOS-lab,Verifies the physical hardware inventory of the device.,Hardware
campus-leaf2,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-leaf2,VerifyTransceiversManufacturers,skipped,VerifyTransceiversManufacturers test is not supported on vEOS-lab,Verifies if all the transceivers come from approved manufacturers.,Hardware
campus-leaf2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-leaf3,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-leaf3,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-leaf3,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-leaf3,VerifyInventory,skipped,VerifyInventory test is not supported on vEOS-lab,Verifies the physical hardware inventory of the device.,Hardware
campus-leaf3,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-leaf3,VerifyTransceiversManufacturers,skipped,VerifyTransceiversManufacturers test is not supported on vEOS-lab,Verifies if all the transceivers come from approved manufacturers.,Hardware
campus-leaf3,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
campus-leaf4,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
campus-leaf4,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
campus-leaf4,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
campus-leaf4,VerifyInventory,skipped,VerifyInventory test is not supported on vEOS-lab,Verifies the physical hardware inventory of the device.,Hardware
campus-leaf4,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
campus-leaf4,VerifyTransceiversManufacturers,skipped,VerifyTransceiversManufacturers test is not supported on vEOS-lab,Verifies if all the transceivers come from approved manufacturers.,Hardware
