Device,Test Name,Test Status,Message(s),Test description,Test category
dc2-brdr1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
dc2-brdr1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
dc2-brdr1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
dc2-brdr1,VerifyInventory,skipped,VerifyInventory test is not supported on vEOS-lab,Verifies the physical hardware inventory of the device.,Hardware
dc2-brdr1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
dc2-brdr1,VerifyTransceiversManufacturers,skipped,VerifyTransceiversManufacturers test is not supported on vEOS-lab,Verifies if all the transceivers come from approved manufacturers.,Hardware
dc2-brdr1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
dc2-brdr2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
dc2-brdr2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
dc2-brdr2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
dc2-brdr2,VerifyInventory,skipped,VerifyInventory test is not supported on vEOS-lab,Verifies the physical hardware inventory of the device.,Hardware
dc2-brdr2,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
dc2-brdr2,VerifyTransceiversManufacturers,skipped,VerifyTransceiversManufacturers test is not supported on vEOS-lab,Verifies if all the transceivers come from approved manufacturers.,Hardware
dc2-brdr2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
